; charset=UTF-8
# IOO (BOM) : oui
# FDL (EOL) : Unix
#
# Udescripteurs.txt
# v10
# d27
# 2024-10-04T0722+0200
#
# Mise à jour grâce aux informations d’Alain LaBonté, 2022-04-23–2022-05-08
# Approbation a priori des noms en CAPITALE/MINUSCULE LATINE A/OE/X, 2022-05-08T1954-0400
#
# Ajout du préfixe `U` pour la compatibilité avec XKB, 2023-01-01
# Ajout des caractères pour faciliter la révision, 2023-01-01
#
# Remplacement de `Z` par `N` pour non bidi-réfléxible, 2023-01-29T1958+0100
#
# La liste Udescripteurs.txt est dérivée du standard Unicode™
# et de la version française de son image ISO/IEC 10646.
#
# Sont repris inchangés environ 49 % des noms de la version 10 de
# la liste française officielle révisée du 2017-08-08, 16:47:50 TUC
# téléchargée depuis :
# http://hapax.qc.ca/ListeNoms-10.0.0.txt
# et tenue à disposition à :
# http://dispoclavier.com/iso/src/v10/2017-08-08/ListeNoms-10.0.0.txt
#
# RÉSERVES :
# Le jeu de caractères universel est géré conjointement par Unicode et ISO/IEC JTC1 SC2 WG2
# qui le publie sous le numéro ISO/IEC 10646. Seule cette norme avait une version française.
# Aucune adaptation française n’est endossée par le Consortium Unicode®.
# L’original anglais : Copyright © 1991-2017 Unicode®, Inc.
# Unicode™ est une marque d’Unicode®, Inc.
# Avant toute distribution, consulter les modalités d’utilisation d’Unicode® :
# http://www.unicode.org/terms_of_use.html
#
# Cette liste est extraite d’une adaptation française complète de la NamesList (source
# originale d’Unicode pour la production des tables de caractères) qui se trouve à :
# http://unicode.org/Public/10.0.0/ucd/NamesList.txt
# La liste de tous les noms de caractères Unicode est consultable à :
# http://unicode.org/Public/10.0.0/ucd/extracted/DerivedName.txt
#
# Le fichier maître dont est dérivée la liste ci-dessous, contient aussi un certain nombre
# de commentaires. Ce fichier, nommé « docuDispos », se trouve à :
# https://dispoclavier.com/caras/src/v10/d20/docuDispos-10.0d20.txt
#
# Les principaux changements sont énumérés dans le change-log qui se trouve à :
# https://dispoclavier.com/caras/src/v10/d20/changeLog.txt
#
# ============================================================================
#
# Légende des catégories générales d’Unicode selon TUS 10.0.0, §04.5, p. 175 (p. 211 du PDF tout-en-un ; « TUS » = The Unicode Standard) :
#
#   Lu = Letter, uppercase ; Lettre capitale
#   Ll = Letter, lowercase ; Lettre minuscule
#   Lt = Letter, titlecase ; Lettre en casse de titre
#   Lm = Letter, modifier ; Lettre modificative
#   Lo = Letter, other ; Lettre autre
#
#   Mn = Mark, nonspacing ; Caractère combinant sans chasse
#   Mc = Mark, spacing combining ; Caractère combinant espaçant
#   Me = Mark, enclosing ; Caractère combinant entourant
#
#   Nd = Number, decimal digit ; Nombre : chiffre décimal
#   Nl = Number, letter ; Nombre : lettre
#   No = Number, other ; Nombre autre
#
#   Pc = Punctuation, connector ; Ponctuation joignante
#   Pd = Punctuation, dash ; Ponctuation tiret
#   Ps = Punctuation, open ; Ponctuation ouvrante
#   Pe = Punctuation, close ; Ponctuation fermante
#   Pi = Punctuation, initial quote (may behave like Ps or Pe depending on usage) ; Ponctuation : guillemet A (peut servir de Ps ou Pe selon l’usage)
#   Pf = Punctuation, final quote (may behave like Ps or Pe depending on usage) ; Ponctuation : guillemet B (peut servir de Ps ou Pe selon l’usage)
#   Po = Punctuation, other ; Ponctuation autre
#
#   Sm = Symbol, math ; Symbole mathématique
#   Sc = Symbol, currency ; Symbole monétaire
#   Sk = Symbol, modifier ; Symbole modificatif
#   So = Symbol, other ; Symbole autre
#
#   Zs = Separator, space ; Séparateur : espace
#   Zl = Separator, line ; Séparateur de ligne
#   Zp = Separator, paragraph ; Séparateur de paragraphe
#
#   Cc = Other, control ; Autre : commande
#   Cf = Other, format ; Autre : formatage
#   Cs = Other, surrogate ; Autre : demi-codet
#   Co = Other, private use ; Autre : usage privé
#   Cn = Other, not assigned (including noncharacters) ; Autre : non assigné (inclut les non-caractères)
#
#
# Légende des types de bidiréflexibilité :
#
#   A = par permutation de glyphes, proprement
#   B = par permutation de glyphes, approximativment (publication nécessite glyphe droite-à-gauche)
#   P = par glyphe droite-à-gauche dédié (souvent indisponible)
#   W = par remplacement de caractère, concerne les symboles mathématiques fléchés (pas encore définis)
#   N = non bidiréflexible
#
#
# Le fichier fournissant la catégorie générale et la réflexibilité de chaque caractère :
# http://unicode.org/Public/10.0.0/ucd/UnicodeData.txt
# La liste informative de tous les caractères réflexibles et de leur mode de réflexion :
# http://unicode.org/Public/10.0.0/ucd/BidiMirroring.txt
# La liste normative des ponctuations réflexibles d’Unicode :
# http://unicode.org/Public/10.0.0/ucd/BidiBrackets.txt
#
# Nombre de points de code listés : 31 696
# Soit 31 588 caractères à nom particulier, 66 non-caractères et 42 points réservés.
# Unicode 10.0.0 contient 136 690 caractères codés, dont 105 102 à nom générique.
#
# Format :
# Pour 11 caractères et les non-caractères :
# UPoint de code; Catégorie générale; Type de bidiréflexibilité; Descripteur ou nom
# Pour les autres caractères :
# "caractère" UPoint de code; Catégorie générale; Type de bidiréflexibilité; Descripteur ou nom

"ય" U0AAF; Lo; N; LETTRE GOUDJARATI YA
"ર" U0AB0; Lo; N; LETTRE GOUDJARATI RA
"લ" U0AB2; Lo; N; LETTRE GOUDJARATI LA
"ળ" U0AB3; Lo; N; LETTRE GOUDJARATI LLA
"વ" U0AB5; Lo; N; LETTRE GOUDJARATI VA
"શ" U0AB6; Lo; N; LETTRE GOUDJARATI ÇA
"ષ" U0AB7; Lo; N; LETTRE GOUDJARATI CHA
"સ" U0AB8; Lo; N; LETTRE GOUDJARATI SA
"હ" U0AB9; Lo; N; LETTRE GOUDJARATI HA
"઼" U0ABC; Mn; N; DIACRITIQUE GOUDJARATI NOUKTA
"ઽ" U0ABD; Lo; N; SYMBOLE GOUDJARATI AVAGRAHA
"ા" U0ABE; Mc; N; VOYELLE COMBINANTE GOUDJARATI Â
"િ" U0ABF; Mc; N; VOYELLE COMBINANTE GOUDJARATI I
"ી" U0AC0; Mc; N; VOYELLE COMBINANTE GOUDJARATI Î
"ુ" U0AC1; Mn; N; VOYELLE COMBINANTE GOUDJARATI OU
"ૂ" U0AC2; Mn; N; VOYELLE COMBINANTE GOUDJARATI OÛ
"ૃ" U0AC3; Mn; N; VOYELLE COMBINANTE GOUDJARATI R VOCALIQUE
"ૄ" U0AC4; Mn; N; VOYELLE COMBINANTE GOUDJARATI RR VOCALIQUE
"ૅ" U0AC5; Mn; N; VOYELLE COMBINANTE GOUDJARATI É TCHANDRA
"ે" U0AC7; Mn; N; VOYELLE COMBINANTE GOUDJARATI É
"ૈ" U0AC8; Mn; N; VOYELLE COMBINANTE GOUDJARATI AÏ
"ૉ" U0AC9; Mc; N; VOYELLE COMBINANTE GOUDJARATI O TCHANDRA
"ો" U0ACB; Mc; N; VOYELLE COMBINANTE GOUDJARATI Ô
"ૌ" U0ACC; Mc; N; VOYELLE COMBINANTE GOUDJARATI AOU
"્" U0ACD; Mn; N; VIRAMA GOUDJARATI
"ૐ" U0AD0; Lo; N; OM GOUDJARATI
"ૠ" U0AE0; Lo; N; LETTRE GOUDJARATI RR VOCALIQUE
"ૡ" U0AE1; Lo; N; LETTRE GOUDJARATI LL VOCALIQUE
"ૢ" U0AE2; Mn; N; VOYELLE COMBINANTE GOUDJARATI L VOCALIQUE
"ૣ" U0AE3; Mn; N; VOYELLE COMBINANTE GOUDJARATI LL VOCALIQUE
"૤" U0AE4; Cn; N; <réservé>
"૥" U0AE5; Cn; N; <réservé>
"૦" U0AE6; Nd; N; CHIFFRE GOUDJARATI ZÉRO
"૧" U0AE7; Nd; N; CHIFFRE GOUDJARATI UN
"૨" U0AE8; Nd; N; CHIFFRE GOUDJARATI DEUX
"૩" U0AE9; Nd; N; CHIFFRE GOUDJARATI TROIS
"૪" U0AEA; Nd; N; CHIFFRE GOUDJARATI QUATRE
"૫" U0AEB; Nd; N; CHIFFRE GOUDJARATI CINQ
"૬" U0AEC; Nd; N; CHIFFRE GOUDJARATI SIX
"૭" U0AED; Nd; N; CHIFFRE GOUDJARATI SEPT
"૮" U0AEE; Nd; N; CHIFFRE GOUDJARATI HUIT
"૯" U0AEF; Nd; N; CHIFFRE GOUDJARATI NEUF
"૰" U0AF0; Po; N; SIGNE D’ABRÉVIATION GOUDJARATI
"૱" U0AF1; Sc; N; SYMBOLE GOUDJARATI ROUPIE
"ૹ" U0AF9; Lo; N; LETTRE GOUDJARATI ZHA
"ૺ" U0AFA; Mn; N; DIACRITIQUE GOUDJARATI SOUKOUN
"ૻ" U0AFB; Mn; N; DIACRITIQUE GOUDJARATI CHADDA
"ૼ" U0AFC; Mn; N; DIACRITIQUE GOUDJARATI MADDA
"૽" U0AFD; Mn; N; DIACRITIQUE GOUDJARATI NOUKTA EN CHEF À TROIS POINTS
"૾" U0AFE; Mn; N; DIACRITIQUE GOUDJARATI NOUKTA EN CHEF À UN CERCLE
"૿" U0AFF; Mn; N; DIACRITIQUE GOUDJARATI NOUKTA EN CHEF À DEUX CERCLES
"ଁ" U0B01; Mn; N; DIACRITIQUE ORIYA TCHANDRABINDOU
"ଂ" U0B02; Mc; N; DIACRITIQUE ORIYA ANOUSVARA
"ଃ" U0B03; Mc; N; DIACRITIQUE ORIYA VISARGA
"ଅ" U0B05; Lo; N; LETTRE ORIYA A
"ଆ" U0B06; Lo; N; LETTRE ORIYA Â
"ଇ" U0B07; Lo; N; LETTRE ORIYA I
"ଈ" U0B08; Lo; N; LETTRE ORIYA Î
"ଉ" U0B09; Lo; N; LETTRE ORIYA OU
"ଊ" U0B0A; Lo; N; LETTRE ORIYA OÛ
"ଋ" U0B0B; Lo; N; LETTRE ORIYA R VOCALIQUE
"ଌ" U0B0C; Lo; N; LETTRE ORIYA L VOCALIQUE
"ଏ" U0B0F; Lo; N; LETTRE ORIYA É
"ଐ" U0B10; Lo; N; LETTRE ORIYA AÏ
"ଓ" U0B13; Lo; N; LETTRE ORIYA Ô
"ଔ" U0B14; Lo; N; LETTRE ORIYA AOU
"କ" U0B15; Lo; N; LETTRE ORIYA KA
"ଖ" U0B16; Lo; N; LETTRE ORIYA KHA
"ଗ" U0B17; Lo; N; LETTRE ORIYA GA
"ଘ" U0B18; Lo; N; LETTRE ORIYA GHA
"ଙ" U0B19; Lo; N; LETTRE ORIYA NGA
"ଚ" U0B1A; Lo; N; LETTRE ORIYA TCHA
"ଛ" U0B1B; Lo; N; LETTRE ORIYA TCHHA
"ଜ" U0B1C; Lo; N; LETTRE ORIYA DJA
"ଝ" U0B1D; Lo; N; LETTRE ORIYA DJHA
"ଞ" U0B1E; Lo; N; LETTRE ORIYA ÑA
"ଟ" U0B1F; Lo; N; LETTRE ORIYA TTA
"ଠ" U0B20; Lo; N; LETTRE ORIYA TTHA
"ଡ" U0B21; Lo; N; LETTRE ORIYA DDA
"ଢ" U0B22; Lo; N; LETTRE ORIYA DDHA
"ଣ" U0B23; Lo; N; LETTRE ORIYA NNA
"ତ" U0B24; Lo; N; LETTRE ORIYA TA
"ଥ" U0B25; Lo; N; LETTRE ORIYA THA
"ଦ" U0B26; Lo; N; LETTRE ORIYA DA
"ଧ" U0B27; Lo; N; LETTRE ORIYA DHA
"ନ" U0B28; Lo; N; LETTRE ORIYA NA
"ପ" U0B2A; Lo; N; LETTRE ORIYA PA
"ଫ" U0B2B; Lo; N; LETTRE ORIYA PHA
"ବ" U0B2C; Lo; N; LETTRE ORIYA BA
"ଭ" U0B2D; Lo; N; LETTRE ORIYA BHA
"ମ" U0B2E; Lo; N; LETTRE ORIYA MA
"ଯ" U0B2F; Lo; N; LETTRE ORIYA YA
"ର" U0B30; Lo; N; LETTRE ORIYA RA
"ଲ" U0B32; Lo; N; LETTRE ORIYA LA
"ଳ" U0B33; Lo; N; LETTRE ORIYA LLA
"ଵ" U0B35; Lo; N; LETTRE ORIYA VA
"ଶ" U0B36; Lo; N; LETTRE ORIYA ÇA
"ଷ" U0B37; Lo; N; LETTRE ORIYA SSA
"ସ" U0B38; Lo; N; LETTRE ORIYA SA
"ହ" U0B39; Lo; N; LETTRE ORIYA HA
"଼" U0B3C; Mn; N; DIACRITIQUE ORIYA NOUKTA
"ଽ" U0B3D; Lo; N; SYMBOLE ORIYA AVAGRAHA
"ା" U0B3E; Mc; N; VOYELLE COMBINANTE ORIYA Â
"ି" U0B3F; Mn; N; VOYELLE COMBINANTE ORIYA I
"ୀ" U0B40; Mc; N; VOYELLE COMBINANTE ORIYA Î
"ୁ" U0B41; Mn; N; VOYELLE COMBINANTE ORIYA OU
"ୂ" U0B42; Mn; N; VOYELLE COMBINANTE ORIYA OÛ
"ୃ" U0B43; Mn; N; VOYELLE COMBINANTE ORIYA R VOCALIQUE
"ୄ" U0B44; Mn; N; VOYELLE COMBINANTE ORIYA RR VOCALIQUE
"େ" U0B47; Mc; N; VOYELLE COMBINANTE ORIYA É
"ୈ" U0B48; Mc; N; VOYELLE COMBINANTE ORIYA AÏ
"ୋ" U0B4B; Mc; N; VOYELLE COMBINANTE ORIYA Ô
"ୌ" U0B4C; Mc; N; VOYELLE COMBINANTE ORIYA AOU
"୍" U0B4D; Mn; N; VIRAMA ORIYA
"ୖ" U0B56; Mn; N; SIGNE DE LONGUEUR ORIYA AÏ
"ୗ" U0B57; Mc; N; SIGNE DE LONGUEUR ORIYA AOU
"ଡ଼" U0B5C; Lo; N; LETTRE ORIYA RRA
"ଢ଼" U0B5D; Lo; N; LETTRE ORIYA RHA
"ୟ" U0B5F; Lo; N; LETTRE ORIYA YYA
"ୠ" U0B60; Lo; N; LETTRE ORIYA RR VOCALIQUE
"ୡ" U0B61; Lo; N; LETTRE ORIYA LL VOCALIQUE
"ୢ" U0B62; Mn; N; VOYELLE COMBINANTE ORIYA L VOCALIQUE
"ୣ" U0B63; Mn; N; VOYELLE COMBINANTE ORIYA LL VOCALIQUE
"୤" U0B64; Cn; N; <réservé>
"୥" U0B65; Cn; N; <réservé>
"୦" U0B66; Nd; N; CHIFFRE ORIYA ZÉRO
"୧" U0B67; Nd; N; CHIFFRE ORIYA UN
"୨" U0B68; Nd; N; CHIFFRE ORIYA DEUX
"୩" U0B69; Nd; N; CHIFFRE ORIYA TROIS
"୪" U0B6A; Nd; N; CHIFFRE ORIYA QUATRE
"୫" U0B6B; Nd; N; CHIFFRE ORIYA CINQ
"୬" U0B6C; Nd; N; CHIFFRE ORIYA SIX
"୭" U0B6D; Nd; N; CHIFFRE ORIYA SEPT
"୮" U0B6E; Nd; N; CHIFFRE ORIYA HUIT
"୯" U0B6F; Nd; N; CHIFFRE ORIYA NEUF
"୰" U0B70; So; N; ÎSCHAR ORIYA
"ୱ" U0B71; Lo; N; LETTRE ORIYA WA
"୲" U0B72; No; N; FRACTION ORIYA UN QUART
"୳" U0B73; No; N; FRACTION ORIYA UN DEMI
"୴" U0B74; No; N; FRACTION ORIYA TROIS QUARTS
"୵" U0B75; No; N; FRACTION ORIYA UN SIXIÈME
"୶" U0B76; No; N; FRACTION ORIYA UN HUITIÈME
"୷" U0B77; No; N; FRACTION ORIYA TROIS SEIZIÈMES
"ஂ" U0B82; Mn; N; DIACRITIQUE TAMOUL ANOUSVARA
"ஃ" U0B83; Lo; N; SYMBOLE TAMOUL AYTHAM
"அ" U0B85; Lo; N; LETTRE TAMOULE A
"ஆ" U0B86; Lo; N; LETTRE TAMOULE Â
"இ" U0B87; Lo; N; LETTRE TAMOULE I
"ஈ" U0B88; Lo; N; LETTRE TAMOULE Î
"உ" U0B89; Lo; N; LETTRE TAMOULE OU
"ஊ" U0B8A; Lo; N; LETTRE TAMOULE OÛ
"எ" U0B8E; Lo; N; LETTRE TAMOULE É
"ஏ" U0B8F; Lo; N; LETTRE TAMOULE Ê
"ஐ" U0B90; Lo; N; LETTRE TAMOULE AÏ
"ஒ" U0B92; Lo; N; LETTRE TAMOULE O
"ஓ" U0B93; Lo; N; LETTRE TAMOULE Ô
"ஔ" U0B94; Lo; N; LETTRE TAMOULE AOU
"க" U0B95; Lo; N; LETTRE TAMOULE KA
"ங" U0B99; Lo; N; LETTRE TAMOULE NGA
"ச" U0B9A; Lo; N; LETTRE TAMOULE TCHA
"ஜ" U0B9C; Lo; N; LETTRE TAMOULE DJA
"ஞ" U0B9E; Lo; N; LETTRE TAMOULE ÑA
"ட" U0B9F; Lo; N; LETTRE TAMOULE TTA
"ண" U0BA3; Lo; N; LETTRE TAMOULE NNA
"த" U0BA4; Lo; N; LETTRE TAMOULE TA
"ந" U0BA8; Lo; N; LETTRE TAMOULE NA
"ன" U0BA9; Lo; N; LETTRE TAMOULE NNNA
"ப" U0BAA; Lo; N; LETTRE TAMOULE PA
"ம" U0BAE; Lo; N; LETTRE TAMOULE MA
"ய" U0BAF; Lo; N; LETTRE TAMOULE YA
"ர" U0BB0; Lo; N; LETTRE TAMOULE RA
"ற" U0BB1; Lo; N; LETTRE TAMOULE RRA
"ல" U0BB2; Lo; N; LETTRE TAMOULE LA
"ள" U0BB3; Lo; N; LETTRE TAMOULE LLA
"ழ" U0BB4; Lo; N; LETTRE TAMOULE LLLA
"வ" U0BB5; Lo; N; LETTRE TAMOULE VA
"ஶ" U0BB6; Lo; N; LETTRE TAMOULE ÇA
"ஷ" U0BB7; Lo; N; LETTRE TAMOULE SSA
"ஸ" U0BB8; Lo; N; LETTRE TAMOULE SA
"ஹ" U0BB9; Lo; N; LETTRE TAMOULE HA
"ா" U0BBE; Mc; N; VOYELLE COMBINANTE TAMOULE Â
"ி" U0BBF; Mc; N; VOYELLE COMBINANTE TAMOULE I
"ீ" U0BC0; Mn; N; VOYELLE COMBINANTE TAMOULE Î
"ு" U0BC1; Mc; N; VOYELLE COMBINANTE TAMOULE OU
"ூ" U0BC2; Mc; N; VOYELLE COMBINANTE TAMOULE OÛ
"ெ" U0BC6; Mc; N; VOYELLE COMBINANTE TAMOULE É
"ே" U0BC7; Mc; N; VOYELLE COMBINANTE TAMOULE Ê
"ை" U0BC8; Mc; N; VOYELLE COMBINANTE TAMOULE AÏ
"ொ" U0BCA; Mc; N; VOYELLE COMBINANTE TAMOULE O
"ோ" U0BCB; Mc; N; VOYELLE COMBINANTE TAMOULE Ô
"ௌ" U0BCC; Mc; N; VOYELLE COMBINANTE TAMOULE AOU
"்" U0BCD; Mn; N; VIRAMA TAMOUL
"ௐ" U0BD0; Lo; N; OM TAMOUL
"ௗ" U0BD7; Mc; N; SIGNE DE LONGUEUR TAMOUL AOU
"௤" U0BE4; Cn; N; <réservé>
"௥" U0BE5; Cn; N; <réservé>
"௦" U0BE6; Nd; N; CHIFFRE TAMOUL ZÉRO
"௧" U0BE7; Nd; N; CHIFFRE TAMOUL UN
"௨" U0BE8; Nd; N; CHIFFRE TAMOUL DEUX
"௩" U0BE9; Nd; N; CHIFFRE TAMOUL TROIS
"௪" U0BEA; Nd; N; CHIFFRE TAMOUL QUATRE
"௫" U0BEB; Nd; N; CHIFFRE TAMOUL CINQ
"௬" U0BEC; Nd; N; CHIFFRE TAMOUL SIX
"௭" U0BED; Nd; N; CHIFFRE TAMOUL SEPT
"௮" U0BEE; Nd; N; CHIFFRE TAMOUL HUIT
"௯" U0BEF; Nd; N; CHIFFRE TAMOUL NEUF
"௰" U0BF0; No; N; NOMBRE TAMOUL DIX
"௱" U0BF1; No; N; NOMBRE TAMOUL CENT
"௲" U0BF2; No; N; NOMBRE TAMOUL MILLE
"௳" U0BF3; So; N; SYMBOLE TAMOUL DU JOUR
"௴" U0BF4; So; N; SYMBOLE TAMOUL DU MOIS
"௵" U0BF5; So; N; SYMBOLE TAMOUL DE L’ANNÉE
"௶" U0BF6; So; N; SYMBOLE TAMOUL DE DÉBIT
"௷" U0BF7; So; N; SYMBOLE TAMOUL DE CRÉDIT
"௸" U0BF8; So; N; SYMBOLE TAMOUL COMME CI-DESSUS
"௹" U0BF9; Sc; N; SYMBOLE TAMOUL ROUPIE
"௺" U0BFA; So; N; SYMBOLE TAMOUL NUMÉRO
"ఀ" U0C00; Mn; N; DIACRITIQUE TÉLOUGOU TCHANDRABINDOU EN CHEF
"ఁ" U0C01; Mc; N; DIACRITIQUE TÉLOUGOU TCHANDRABINDOU
"ం" U0C02; Mc; N; DIACRITIQUE TÉLOUGOU ANOUSVARA
"ః" U0C03; Mc; N; DIACRITIQUE TÉLOUGOU VISARGA
"అ" U0C05; Lo; N; LETTRE TÉLOUGOU A
"ఆ" U0C06; Lo; N; LETTRE TÉLOUGOU Â
"ఇ" U0C07; Lo; N; LETTRE TÉLOUGOU I
"ఈ" U0C08; Lo; N; LETTRE TÉLOUGOU Î
"ఉ" U0C09; Lo; N; LETTRE TÉLOUGOU OU
"ఊ" U0C0A; Lo; N; LETTRE TÉLOUGOU OÛ
"ఋ" U0C0B; Lo; N; LETTRE TÉLOUGOU R VOCALIQUE
"ఌ" U0C0C; Lo; N; LETTRE TÉLOUGOU L VOCALIQUE
"ఎ" U0C0E; Lo; N; LETTRE TÉLOUGOU É
"ఏ" U0C0F; Lo; N; LETTRE TÉLOUGOU Ê
"ఐ" U0C10; Lo; N; LETTRE TÉLOUGOU AÏ
"ఒ" U0C12; Lo; N; LETTRE TÉLOUGOU O
"ఓ" U0C13; Lo; N; LETTRE TÉLOUGOU Ô
"ఔ" U0C14; Lo; N; LETTRE TÉLOUGOU AOU
"క" U0C15; Lo; N; LETTRE TÉLOUGOU KA
"ఖ" U0C16; Lo; N; LETTRE TÉLOUGOU KHA
"గ" U0C17; Lo; N; LETTRE TÉLOUGOU GA
"ఘ" U0C18; Lo; N; LETTRE TÉLOUGOU GHA
"ఙ" U0C19; Lo; N; LETTRE TÉLOUGOU NGA
"చ" U0C1A; Lo; N; LETTRE TÉLOUGOU TCHA
"ఛ" U0C1B; Lo; N; LETTRE TÉLOUGOU TCHHA
"జ" U0C1C; Lo; N; LETTRE TÉLOUGOU DJA
"ఝ" U0C1D; Lo; N; LETTRE TÉLOUGOU DJHA
"ఞ" U0C1E; Lo; N; LETTRE TÉLOUGOU ÑA
"ట" U0C1F; Lo; N; LETTRE TÉLOUGOU TTA
"ఠ" U0C20; Lo; N; LETTRE TÉLOUGOU TTHA
"డ" U0C21; Lo; N; LETTRE TÉLOUGOU DDA
"ఢ" U0C22; Lo; N; LETTRE TÉLOUGOU DDHA
"ణ" U0C23; Lo; N; LETTRE TÉLOUGOU NNA
"త" U0C24; Lo; N; LETTRE TÉLOUGOU TA
"థ" U0C25; Lo; N; LETTRE TÉLOUGOU THA
"ద" U0C26; Lo; N; LETTRE TÉLOUGOU DA
"ధ" U0C27; Lo; N; LETTRE TÉLOUGOU DHA
"న" U0C28; Lo; N; LETTRE TÉLOUGOU NA
"ప" U0C2A; Lo; N; LETTRE TÉLOUGOU PA
"ఫ" U0C2B; Lo; N; LETTRE TÉLOUGOU PHA
"బ" U0C2C; Lo; N; LETTRE TÉLOUGOU BA
"భ" U0C2D; Lo; N; LETTRE TÉLOUGOU BHA
"మ" U0C2E; Lo; N; LETTRE TÉLOUGOU MA
"య" U0C2F; Lo; N; LETTRE TÉLOUGOU YA
"ర" U0C30; Lo; N; LETTRE TÉLOUGOU RA
"ఱ" U0C31; Lo; N; LETTRE TÉLOUGOU RRA
"ల" U0C32; Lo; N; LETTRE TÉLOUGOU LA
"ళ" U0C33; Lo; N; LETTRE TÉLOUGOU LLA
"ఴ" U0C34; Lo; N; LETTRE TÉLOUGOU LLLA
"వ" U0C35; Lo; N; LETTRE TÉLOUGOU VA
"శ" U0C36; Lo; N; LETTRE TÉLOUGOU ÇA
"ష" U0C37; Lo; N; LETTRE TÉLOUGOU CHA
"స" U0C38; Lo; N; LETTRE TÉLOUGOU SA
"హ" U0C39; Lo; N; LETTRE TÉLOUGOU HA
"ఽ" U0C3D; Lo; N; SYMBOLE TÉLOUGOU AVAGRAHA
"ా" U0C3E; Mn; N; VOYELLE COMBINANTE TÉLOUGOU Â
"ి" U0C3F; Mn; N; VOYELLE COMBINANTE TÉLOUGOU I
"ీ" U0C40; Mn; N; VOYELLE COMBINANTE TÉLOUGOU Î
"ు" U0C41; Mc; N; VOYELLE COMBINANTE TÉLOUGOU OU
"ూ" U0C42; Mc; N; VOYELLE COMBINANTE TÉLOUGOU OÛ
"ృ" U0C43; Mc; N; VOYELLE COMBINANTE TÉLOUGOU R VOCALIQUE
"ౄ" U0C44; Mc; N; VOYELLE COMBINANTE TÉLOUGOU RR VOCALIQUE
"ె" U0C46; Mn; N; VOYELLE COMBINANTE TÉLOUGOU E
"ే" U0C47; Mn; N; VOYELLE COMBINANTE TÉLOUGOU Ê
"ై" U0C48; Mn; N; VOYELLE COMBINANTE TÉLOUGOU AÏ
"ొ" U0C4A; Mn; N; VOYELLE COMBINANTE TÉLOUGOU O
"ో" U0C4B; Mn; N; VOYELLE COMBINANTE TÉLOUGOU Ô
"ౌ" U0C4C; Mn; N; VOYELLE COMBINANTE TÉLOUGOU AOU
"్" U0C4D; Mn; N; VIRAMA TÉLOUGOU
"ౕ" U0C55; Mn; N; SIGNE DE LONGUEUR TÉLOUGOU
"ౖ" U0C56; Mn; N; SIGNE DE LONGUEUR TÉLOUGOU AÏ
"ౘ" U0C58; Lo; N; LETTRE TÉLOUGOU TSA
"ౙ" U0C59; Lo; N; LETTRE TÉLOUGOU DZA
"ౚ" U0C5A; Lo; N; LETTRE TÉLOUGOU RRRA
"ౠ" U0C60; Lo; N; LETTRE TÉLOUGOU RR VOCALIQUE
"ౡ" U0C61; Lo; N; LETTRE TÉLOUGOU LL VOCALIQUE
"ౢ" U0C62; Mn; N; VOYELLE COMBINANTE TÉLOUGOU L VOCALIQUE L
"ౣ" U0C63; Mn; N; VOYELLE COMBINANTE TÉLOUGOU LL VOCALIQUE LL
"౤" U0C64; Cn; N; <réservé>
"౥" U0C65; Cn; N; <réservé>
"౦" U0C66; Nd; N; CHIFFRE TÉLOUGOU ZÉRO
"౧" U0C67; Nd; N; CHIFFRE TÉLOUGOU UN
"౨" U0C68; Nd; N; CHIFFRE TÉLOUGOU DEUX
"౩" U0C69; Nd; N; CHIFFRE TÉLOUGOU TROIS
"౪" U0C6A; Nd; N; CHIFFRE TÉLOUGOU QUATRE
"౫" U0C6B; Nd; N; CHIFFRE TÉLOUGOU CINQ
"౬" U0C6C; Nd; N; CHIFFRE TÉLOUGOU SIX
"౭" U0C6D; Nd; N; CHIFFRE TÉLOUGOU SEPT
"౮" U0C6E; Nd; N; CHIFFRE TÉLOUGOU HUIT
"౯" U0C6F; Nd; N; CHIFFRE TÉLOUGOU NEUF
"౸" U0C78; No; N; NUMÉRATEUR TÉLOUGOU ZÉRO POUR LES PUISSANCES IMPAIRES DE QUATRE
"౹" U0C79; No; N; NUMÉRATEUR TÉLOUGOU UN POUR LES PUISSANCES IMPAIRES DE QUATRE
"౺" U0C7A; No; N; NUMÉRATEUR TÉLOUGOU DEUX POUR LES PUISSANCES IMPAIRES DE QUATRE
"౻" U0C7B; No; N; NUMÉRATEUR TÉLOUGOU TROIS POUR LES PUISSANCES IMPAIRES DE QUATRE
"౼" U0C7C; No; N; NUMÉRATEUR TÉLOUGOU UN POUR LES PUISSANCES PAIRES DE QUATRE
"౽" U0C7D; No; N; NUMÉRATEUR TÉLOUGOU DEUX POUR LES PUISSANCES PAIRES DE QUATRE
"౾" U0C7E; No; N; NUMÉRATEUR TÉLOUGOU TROIS POUR LES PUISSANCES PAIRES DE QUATRE
"౿" U0C7F; So; N; SYMBOLE TÉLOUGOU TOÛMOU
"ಀ" U0C80; Lo; N; SYMBOLE KANNARA TCHANDRABINDOU
"ಁ" U0C81; Mn; N; DIACRITIQUE KANNARA TCHANDRABINDOU
"ಂ" U0C82; Mc; N; DIACRITIQUE KANNARA ANOUSVARA
"ಃ" U0C83; Mc; N; DIACRITIQUE KANNARA VISARGA
